1 4,05
2 7,57
3 4,89
4 14,23
5 11,51
6 11,08
7 6,75
8 5,80
9 9,19
10 5,13
11 11,09
12 5,70
13 6,33
14 42,40
15 26,41
16 24,00
17 24,71
18 39,35
19 25,90
20 30,44
21 33,25
22 33,00
23 35,46
24 31,12
25 37,62
26 28,49
27 39,60
28 28,68
29 36,09
30 38,69
31 32,02
32 32,72
33 34,95
34 31,76
35 33,14
36 32,58
37 35,16
38 29,37
39 28,96
40 33,64
41 34,17
42 32,27
43 28,26
44 30,28
45 22,52
46 29,56
47 33,27
48 31,67
49 33,32
50 30,10
51 30,51
52 32,07
53 26,41
54 39,90
55 34,63
56 34,57
57 30,84
58 35,76
59 27,38
60 40,50
61 33,64
62 33,59
63 31,81
64 29,08
65 30,52
66 32,81
67 34,13
68 32,46
69 32,08
70 30,45
71 29,01
72 34,64
73 19,71
74 40,13
75 28,87
76 27,31
77 23,02
78 31,27
79 30,06
80 25,74
81 27,05
82 28,69
83 30,71
84 32,74
85 31,05
86 29,98
87 31,88
88 29,49
89 20,85
90 40,23
91 27,70
92 30,27
93 30,54
94 29,97
95 28,28
96 31,20
97 26,16
98 32,84
99 35,43
100 31,19
101 30,02
102 21,43
103 24,37
104 34,45
105 29,59
106 28,75
107 30,82
108 28,28
109 31,18
110 29,78
111 22,41
112 34,02
113 31,12
114 30,09
115 12,00
116 18,49
117 28,91
118 20,78
119 27,98
120 27,78
121 20,70
122 31,59
123 28,72
124 19,49
125 35,02
126 26,70
127 19,68
128 21,83
129 24,48
130 33,91
131 20,39
132 31,26
133 20,64
134 30,10
135 37,65
136 20,36
137 32,51
138 28,44
139 25,46
140 29,16
141 30,44
142 36,78
143 28,01
144 31,18
145 27,68
146 27,93
147 26,97
148 27,38
149 21,89
150 27,62
151 35,77
152 23,41
153 25,90
154 28,34
155 31,94
156 25,00
157 27,41
158 28,95
159 32,17
160 23,63
161 32,99
162 28,67
163 33,05
164 27,14
165 29,83
166 27,57
167 27,02
168 29,12
169 25,71
170 28,75
171 30,67
172 19,23
173 27,46
174 23,26
175 33,34
176 25,06
177 33,96
178 27,89
179 28,26
180 22,90
181 29,10
182 35,28
183 25,72
184 28,82
185 30,64
186 29,53
187 14,80
188 40,30
189 31,91
190 28,24
191 26,08
192 23,93
193 31,81
194 23,97
195 25,77
196 31,66
197 20,62
198 31,78
199 33,81
200 24,45
201 30,77
202 26,54
203 34,10
204 26,11
205 32,64
206 26,32
207 28,46
208 26,66
209 34,66
210 25,41
211 26,90
212 29,99
213 26,79
214 30,04
215 27,93
216 21,70
217 27,77
218 27,39
219 31,01
220 30,65
221 26,46
222 35,77
223 30,57
224 33,03
225 32,71
226 30,20
227 28,32
228 36,20
229 29,09
230 34,59
231 19,25
232 32,41
233 31,77
234 29,35
235 25,92
236 39,68
237 30,97
238 30,13
239 31,15
240 37,35
241 29,99
242 29,16
243 34,58
244 31,78
245 31,72
246 31,66
247 27,02
248 19,91
249 30,97
250 28,93
251 34,29
252 25,41
253 32,22
254 29,37
255 29,51
256 30,93
257 30,67
258 36,97
259 32,51
260 32,93
261 33,38
262 24,74
263 29,43
264 34,82
265 23,85
266 34,88
267 29,63
268 12,32
269 27,36
270 26,72
271 26,01
272 16,14
273 26,11
274 26,78
275 21,56
276 18,64
277 7,82
278 16,22
279 24,48
280 12,06
281 12,38
282 13,84
283 7,95
284 17,66
285 20,33
286 16,09
287 14,00
288 20,18
289 15,56
290 22,30
291 12,89
292 17,40
293 21,14
294 24,97
295 24,78
296 22,95
297 23,99
298 22,91
299 24,21
300 20,79
301 21,95
302 22,41
303 21,54
304 21,45
305 22,67
306 23,54
307 21,27
308 20,58
309 22,36
310 22,20
311 22,48
312 21,58
313 20,73
314 21,35
315 21,50
316 17,51
317 24,89
318 21,27
319 24,93
320 21,35
321 24,61
322 21,28
323 19,07
324 18,10
325 20,02
326 19,45
327 19,12
328 18,78
329 20,30
330 19,01
331 16,41
332 16,02
333 14,89
334 14,51
335 11,35
336 16,28
337 14,28
338 15,71
339 13,88
340 7,13
375 2,40
376 4,32
377 10,72
378 12,99
379 16,15
380 17,93
381 21,01
