1 18,29
2 16,47
3 17,81
4 18,91
5 27,21
6 29,15
7 33,75
8 35,49
9 41,58
10 28,95
11 35,18
12 35,50
13 42,45
14 36,96
15 42,04
16 39,58
17 35,80
18 42,30
19 42,41
20 34,51
21 36,29
22 36,95
23 33,58
24 41,94
25 39,96
26 30,91
27 39,88
28 36,27
29 38,20
30 37,05
31 34,92
32 35,37
33 34,15
34 43,40
35 35,34
36 37,46
37 42,06
38 33,81
39 38,79
40 41,25
41 38,47
42 36,48
43 40,67
44 40,48
45 39,02
46 41,23
47 37,83
48 39,02
49 41,82
50 34,33
51 18,66
52 43,67
53 34,06
54 47,41
55 38,88
56 46,15
57 34,92
58 36,64
59 31,92
60 31,56
61 32,79
62 32,65
63 36,00
64 32,00
65 32,29
66 38,77
67 34,40
68 25,18
69 37,09
70 39,29
71 36,62
72 41,31
73 38,65
74 41,25
75 41,27
76 39,53
77 43,58
78 39,51
79 41,91
80 22,22
81 50,62
82 41,94
83 40,12
84 43,60
85 42,41
86 42,42
87 38,87
88 43,36
89 38,36
90 33,39
91 29,18
92 40,49
93 32,57
94 33,25
95 35,96
96 36,19
97 38,59
98 34,96
99 33,33
100 32,25
101 31,29
102 33,37
103 32,04
104 30,77
105 33,75
106 36,01
107 31,22
108 31,51
109 33,61
110 35,99
111 33,56
112 32,83
113 34,45
114 32,61
115 19,85
116 23,50
117 37,01
118 18,94
119 31,89
120 34,24
121 25,74
122 33,14
123 38,08
124 34,70
125 35,76
126 36,93
127 35,49
128 30,34
129 39,63
130 35,77
131 21,03
132 36,26
133 35,26
134 30,61
135 3,43
136 38,69
137 32,10
138 32,73
139 26,76
140 30,90
141 26,35
142 29,35
143 28,87
144 30,45
145 31,29
146 24,83
147 31,02
148 28,73
149 29,25
150 27,22
151 29,79
152 26,10
153 26,75
154 23,99
155 23,58
156 22,22
157 24,41
158 24,88
159 25,06
160 21,91
161 24,35
162 27,74
163 19,91
164 27,86
165 24,09
166 18,68
167 31,33
168 24,20
169 29,69
170 22,31
171 26,19
172 19,53
173 29,04
174 23,50
175 23,25
176 20,27
177 22,42
178 25,46
179 15,82
180 32,44
181 24,52
182 18,17
183 21,61
184 26,20
185 25,36
186 23,53
187 20,15
188 22,80
189 23,23
190 13,53
191 24,80
192 23,30
193 17,91
194 19,58
195 27,76
196 22,16
197 20,95
198 22,75
199 20,65
200 23,68
201 18,78
202 15,41
203 26,88
204 23,04
205 18,57
206 24,88
207 17,30
208 29,38
209 15,01
210 25,85
211 22,01
212 20,05
213 21,66
214 23,41
215 20,81
216 19,65
217 20,33
218 19,58
219 17,46
220 19,57
221 20,03
222 19,29
223 19,78
224 21,15
225 18,55
226 17,00
227 14,57
228 22,79
229 12,13
230 22,10
231 17,53
232 10,57
233 28,46
234 8,29
235 18,69
236 14,23
237 21,51
238 18,28
239 5,87
240 20,17
241 12,23
242 19,08
243 18,62
244 14,98
245 6,14
246 14,80
247 15,94
248 17,55
249 10,73
250 14,21
251 20,35
252 9,08
253 14,62
254 12,73
255 15,72
256 8,46
257 15,35
258 10,93
259 18,87
260 11,13
261 17,10
262 9,67
263 22,02
264 8,30
265 14,77
266 16,91
267 7,93
268 15,10
269 11,44
270 12,14
271 12,79
272 11,53
273 11,11
274 11,93
275 8,23
276 13,84
277 10,41
278 10,79
279 7,98
280 11,15
281 12,82
282 11,64
283 13,24
284 13,13
285 12,87
286 12,64
287 10,73
288 15,57
289 9,07
290 12,76
291 13,49
292 10,02
293 15,47
294 12,92
295 13,63
296 13,42
297 7,32
298 19,10
299 6,72
300 12,62
301 11,67
302 12,91
303 19,19
304 7,27
305 17,87
306 7,52
307 19,65
308 12,20
309 13,80
310 7,61
311 11,27
312 14,87
313 18,67
314 7,07
315 9,57
316 12,30
317 12,91
