1 5,66
2 12,95
3 12,82
4 8,55
5 23,67
6 26,04
7 23,43
8 31,82
9 25,93
10 32,86
11 34,81
12 30,59
13 31,32
14 17,14
15 31,36
16 46,48
17 24,71
18 37,54
19 35,21
20 33,89
21 30,64
22 37,24
23 25,98
24 28,27
25 28,05
26 26,99
27 23,30
28 30,62
29 33,93
30 31,41
31 32,73
32 39,68
33 30,50
34 31,82
35 24,54
36 42,33
37 36,61
38 27,46
39 29,28
40 28,83
41 33,59
42 33,06
43 29,25
44 24,27
45 33,74
46 31,62
47 32,86
48 28,26
49 25,27
50 34,14
51 32,37
52 18,54
53 31,31
54 39,56
55 32,24
56 31,70
57 30,67
58 29,35
59 30,03
60 37,04
61 28,79
62 29,74
63 32,30
64 30,09
65 30,37
66 16,76
67 41,12
68 37,06
69 17,72
70 32,97
71 32,77
72 33,18
73 33,23
74 24,92
75 34,70
76 30,28
77 20,48
78 45,79
79 30,41
80 26,55
81 21,30
82 40,11
83 34,94
84 28,44
85 32,97
86 18,86
87 44,38
88 17,87
89 45,26
90 30,81
91 30,75
92 34,89
93 32,28
94 19,42
95 45,31
96 35,02
97 20,56
98 33,93
99 43,45
100 32,84
101 33,92
102 30,57
103 33,72
104 32,15
105 31,84
106 0,01
107 44,40
108 31,65
109 31,98
110 19,90
111 33,40
112 37,96
113 44,80
114 33,84
115 34,55
116 20,51
117 31,63
118 43,75
119 34,76
120 32,68
121 36,05
122 35,07
123 37,07
124 33,00
125 31,70
126 35,90
127 33,87
128 26,86
129 42,48
130 35,99
131 22,74
132 34,51
133 41,56
134 32,98
135 35,16
136 28,49
137 31,27
138 33,11
139 31,84
140 35,23
141 30,55
142 36,06
143 26,72
144 28,94
145 33,23
146 34,21
147 32,61
148 31,13
149 31,11
150 31,18
151 19,11
152 45,38
153 27,76
154 19,12
155 26,80
156 38,53
157 33,47
158 21,03
159 47,16
160 30,32
161 31,40
162 17,77
163 30,98
164 32,35
165 31,55
166 33,48
167 25,62
168 32,45
169 32,62
170 33,02
171 28,90
172 31,81
173 20,26
174 34,94
175 39,71
176 21,30
177 34,45
178 46,73
179 22,37
180 42,83
181 20,82
182 35,62
183 34,59
184 39,73
185 25,82
186 46,29
187 36,54
188 33,47
189 23,39
190 47,29
191 18,59
192 36,10
193 39,30
194 31,60
195 38,61
196 34,83
197 16,60
198 34,42
199 29,97
200 32,75
201 49,19
202 25,34
203 33,00
204 52,26
205 25,42
206 52,50
207 22,60
208 36,07
209 35,82
210 23,35
211 23,25
212 29,41
213 40,69
214 40,23
215 24,57
216 34,27
217 35,93
218 31,12
219 37,30
220 36,97
221 41,35
222 36,29
223 21,18
224 33,34
225 42,96
226 22,40
227 35,77
228 30,78
229 33,01
230 32,82
231 35,60
232 39,54
233 27,77
234 22,91
235 42,58
236 33,87
238 44,02
239 26,54
240 37,31
241 21,35
242 54,24
243 21,74
244 39,58
245 23,45
246 42,02
247 20,56
248 24,34
249 27,94
250 24,45
251 23,28
252 24,53
253 26,50
254 9,68
255 13,17
256 14,59
257 9,51
258 11,96
259 22,24
260 22,98
261 10,32
262 16,74
263 6,91
264 9,17
265 20,66
266 6,42
267 10,78
268 25,62
269 15,06
270 25,47
271 3,84
272 40,71
273 30,25
274 18,16
275 38,38
276 17,72
277 29,85
278 18,44
279 31,42
280 28,19
281 41,22
282 29,19
283 17,47
284 41,97
285 21,26
286 28,55
287 35,70
288 27,79
289 29,30
290 28,17
291 27,70
292 30,12
293 27,90
294 27,91
295 15,73
296 29,01
297 42,11
298 17,81
299 39,41
300 18,14
301 26,47
302 15,81
303 24,46
304 26,08
305 37,45
306 14,14
307 25,51
308 36,82
309 23,76
310 22,74
311 23,77
312 21,04
313 12,34
314 30,06
315 21,16
316 21,48
317 10,84
318 31,98
319 11,83
320 19,03
321 13,95
322 29,21
323 22,49
324 22,40
325 19,30
326 14,66
327 20,91
328 30,18
329 12,45
330 19,90
331 29,31
332 20,23
333 21,31
334 19,87
335 21,08
336 19,68
337 21,14
338 23,29
339 17,30
340 24,68
341 23,80
342 12,40
343 35,28
344 23,49
345 23,46
346 23,69
347 21,69
348 13,05
349 31,23
350 21,08
351 22,73
352 21,29
353 12,46
354 20,99
355 21,94
356 21,54
357 19,49
358 18,15
359 27,45
360 11,53
