cellules exporté sur '23/11/2014' 10:18.
 De '01/01/2011' à 31/12/2011.
Lot: BOX VACHES VMS

Numéro de l'animal	Production quotidienne	Cons. en concentrés	Date	Jours en lactation	Lactation
3227			01/01/2011		
4997			01/01/2011		
3504			01/01/2011		
3216			01/01/2011		
14			01/01/2011		
8932	17,54	4,4	01/01/2011	13	1
8949	23,68	4,6	01/01/2011	84	1
9			01/01/2011		
3129			01/01/2011		
3541			01/01/2011		
3138			01/01/2011		
8933			01/01/2011		
8959			01/01/2011		
17			01/01/2011		
3532			01/01/2011		
3507			01/01/2011		
3500			01/01/2011		
4965			01/01/2011		
3166			01/01/2011		
3514			01/01/2011		
3133			01/01/2011		
3230			01/01/2011		
4978			01/01/2011		
8936	26,58	5,0	01/01/2011	85	1
3509			01/01/2011		
1			01/01/2011		
3524			01/01/2011		
3140			01/01/2011		
5004			01/01/2011		
8970			01/01/2011		
4971			01/01/2011		
4990			01/01/2011		
3505			01/01/2011		
8946	25,07	5,2	01/01/2011	87	1
8941			01/01/2011		
3537			01/01/2011		
3536			01/01/2011		
7			01/01/2011		
3517			01/01/2011		
3495			01/01/2011		
4977			01/01/2011		
4994			01/01/2011		
3517			02/01/2011		
3140			02/01/2011		
3537			02/01/2011		
3509			02/01/2011		
3541			02/01/2011		
4994			02/01/2011		
9			02/01/2011		
7			02/01/2011		
3500			02/01/2011		
3536			02/01/2011		
4978			02/01/2011		
8932	16,99	3,7	02/01/2011	14	1
8946	24,08	5,0	02/01/2011	88	1
8933			02/01/2011		
4977			02/01/2011		
8959			02/01/2011		
17			02/01/2011		
3230			02/01/2011		
3138			02/01/2011		
3507			02/01/2011		
8936	29,29	5,2	02/01/2011	86	1
3495			02/01/2011		
4965			02/01/2011		
3514			02/01/2011		
8941			02/01/2011		
3216			02/01/2011		
3227			02/01/2011		
3505			02/01/2011		
8949	29,25	5,1	02/01/2011	85	1
14			02/01/2011		
8970			02/01/2011		
3524			02/01/2011		
5004			02/01/2011		
3133			02/01/2011		
1			02/01/2011		
4997			02/01/2011		
3532			02/01/2011		
3166			02/01/2011		
4971			02/01/2011		
3129			02/01/2011		
4990			02/01/2011		
3504			02/01/2011		
5004			03/01/2011		
17			03/01/2011		
9			03/01/2011		
8949	32,14	5,4	03/01/2011	86	1
3500			03/01/2011		
3537			03/01/2011		
8946	25,75	6,0	03/01/2011	89	1
3514			03/01/2011		
4978			03/01/2011		
3216			03/01/2011		
