cellules exporté sur '23/11/2014' 10:12.
 De '01/01/2014' à 31/12/2014.
Lot: BOX VACHES VMS

Numéro de l'animal	Production quotidienne	Cons. en concentrés	Date	Jours en lactation	Lactation
3505			01/01/2014		
3133	13,17	4,5	01/01/2014	121	3
3541			01/01/2014		
3514			01/01/2014		
1			01/01/2014		
3504	22,78	4,7	01/01/2014	82	1
4997	16,16	5,8	01/01/2014	158	1
3166	21,16	4,6	01/01/2014	252	2
8933	21,14	5,6	01/01/2014	93	3
17			01/01/2014		
3532			01/01/2014		
14			01/01/2014		
3517			01/01/2014		
8970	26,37	5,6	01/01/2014	82	3
3216	16,52	3,9	01/01/2014	48	1
9			01/01/2014		
3507			01/01/2014		
3536			01/01/2014		
8946	28,59	7,7	01/01/2014	119	4
7			01/01/2014		
3129	32,75	7,0	01/01/2014	99	3
8949			01/01/2014	465	3
3524			01/01/2014		
3227			01/01/2014		
5004	14,11	4,9	01/01/2014	80	1
4990			01/01/2014	282	1
8936	22,51	5,4	01/01/2014	133	4
3500			01/01/2014		
4965	30,15	5,0	01/01/2014	22	2
4977	15,14	4,0	01/01/2014	199	1
8959	32,30	5,1	01/01/2014	63	3
8941	37,11	5,4	01/01/2014	30	3
3230			01/01/2014		
3495	9,14	2,9	01/01/2014	11	1
4978	33,29	5,6	01/01/2014	22	2
3138	32,74	6,0	01/01/2014	84	3
3537			01/01/2014		
4971	13,49	4,3	01/01/2014	91	2
3509			01/01/2014		
4994	9,21	1,1	01/01/2014	16	2
3140	25,86	5,9	01/01/2014	220	2
8932	21,30	3,4	01/01/2014	244	3
3129	27,25	5,9	02/01/2014	100	3
3230			02/01/2014		
3140	24,01	5,9	02/01/2014	221	2
8959	30,09	4,8	02/01/2014	64	3
7			02/01/2014		
3133	18,43	5,8	02/01/2014	122	3
17			02/01/2014		
4977	20,35	6,0	02/01/2014	200	1
8936	20,91	5,0	02/01/2014	134	4
3500			02/01/2014		
4978	26,64	4,9	02/01/2014	23	2
3537			02/01/2014		
8949			02/01/2014	466	3
8970	30,45	6,5	02/01/2014	83	3
3514			02/01/2014		
3227			02/01/2014		
3138	31,05	5,6	02/01/2014	85	3
3507			02/01/2014		
3216	27,03	5,5	02/01/2014	49	1
4997	18,60	2,9	02/01/2014	159	1
3524			02/01/2014		
8933	17,02	4,4	02/01/2014	94	3
3509			02/01/2014		
3495	15,31	5,4	02/01/2014	12	1
5004	14,69	4,8	02/01/2014	81	1
3536			02/01/2014		
4990			02/01/2014	283	1
8941	33,61	5,1	02/01/2014	31	3
1			02/01/2014		
4965	32,63	5,4	02/01/2014	23	2
3166	21,33	4,4	02/01/2014	253	2
9			02/01/2014		
3532			02/01/2014		
8946	20,44	5,8	02/01/2014	120	4
3517			02/01/2014		
3541			02/01/2014		
3504	17,97	5,3	02/01/2014	83	1
14			02/01/2014		
3505			02/01/2014		
4994	9,91	3,5	02/01/2014	17	2
8932	23,15	4,3	02/01/2014	245	3
4971	17,56	4,4	02/01/2014	92	2
5004	19,99	6,9	03/01/2014	82	1
3524			03/01/2014		
3541			03/01/2014		
8936	27,93	6,5	03/01/2014	135	4
8933	22,05	5,5	03/01/2014	95	3
8946	18,16	5,2	03/01/2014	121	4
3133	18,86	6,2	03/01/2014	123	3
3509			03/01/2014		
4965	26,64	4,6	03/01/2014	24	2
17			03/01/2014		
3230			03/01/2014		
3495	9,69	3,0	03/01/2014	13	1
3504	19,26	5,3	03/01/2014	84	1
14			03/01/2014		
3140	27,94	6,3	03/01/2014	222	2
3505			03/01/2014		
8970	26,93	5,4	03/01/2014	84	3
4990			03/01/2014	284	1
1			03/01/2014		
4997	23,20	5,8	03/01/2014	160	1
3536			03/01/2014		
4977	14,56	3,7	03/01/2014	201	1
4994	5,62	3,0	03/01/2014	18	2
3507			03/01/2014		
8949			03/01/2014	467	3
4978	24,78	4,4	03/01/2014	24	2
3537			03/01/2014		
3138	29,98	6,4	03/01/2014	86	3
3532			03/01/2014		
8932	15,22	2,7	03/01/2014	246	3
3500			03/01/2014		
3129	26,76	5,8	03/01/2014	101	3
3216	20,99	4,5	03/01/2014	50	1
3166	18,10	3,9	03/01/2014	254	2
8959	30,37	4,9	03/01/2014	65	3
9			03/01/2014		
3517			03/01/2014		
3514			03/01/2014		
4971	24,34	5,6	03/01/2014	93	2
7			03/01/2014		
3227			03/01/2014		
8941	31,98	4,8	03/01/2014	32	3
4994	10,09	2,8	04/01/2014	19	2
