4965			01/01/2012		
4978			01/01/2012		
3509			01/01/2012		
3227			01/01/2012		
4990			01/01/2012		
3500			01/01/2012		
3537			01/01/2012		
8970	21,71	4,9	01/01/2012	11	1
3138	20,31	4,2	01/01/2012	47	1
3524			01/01/2012		
3216			01/01/2012		
3495			01/01/2012		
3133	17,33	3,2	01/01/2012	73	1
7			01/01/2012		
9			01/01/2012		
3536			01/01/2012		
8949	12,98	2,2	01/01/2012	111	2
4977			01/01/2012		
4971			01/01/2012		
4997			01/01/2012		
5004			01/01/2012		
8941	16,38	1,4	01/01/2012	326	1
3517			01/01/2012		
3504			01/01/2012		
3514			01/01/2012		
8946	12,78	2,9	01/01/2012	133	2
3507			01/01/2012		
8932	26,67	2,5	01/01/2012	21	2
1			01/01/2012		
3541			01/01/2012		
4994			01/01/2012		
3129	27,01	4,2	01/01/2012	38	1
8936	25,26	5,0	01/01/2012	94	2
3532			01/01/2012		
8933	21,39	3,9	01/01/2012	226	1
3166			01/01/2012		
17			01/01/2012		
3505			01/01/2012		
3230			01/01/2012		
3140	21,54	4,1	01/01/2012	85	1
14			01/01/2012		
8959	32,09	5,1	01/01/2012	241	1
4997			02/01/2012		
3507			02/01/2012		
3500			02/01/2012		
3504			02/01/2012		
17			02/01/2012		
3227			02/01/2012		
8936	22,10	4,5	02/01/2012	95	2
4977			02/01/2012		
4971			02/01/2012		
3517			02/01/2012		
3532			02/01/2012		
3495			02/01/2012		
3524			02/01/2012		
7			02/01/2012		
3509			02/01/2012		
3541			02/01/2012		
3138	20,57	3,6	02/01/2012	48	1
9			02/01/2012		
4965			02/01/2012		
3129	18,72	3,0	02/01/2012	39	1
4978			02/01/2012		
8959	22,15	3,9	02/01/2012	242	1
3166			02/01/2012		
8949	30,13	5,5	02/01/2012	112	2
4994			02/01/2012		
1			02/01/2012		
8932	26,64	2,5	02/01/2012	22	2
4990			02/01/2012		
3230			02/01/2012		
3505			02/01/2012		
8970	17,87	4,4	02/01/2012	12	1
8946	28,10	5,1	02/01/2012	134	2
8941	20,86	1,7	02/01/2012	327	1
3140	17,59	3,3	02/01/2012	86	1
5004			02/01/2012		
3514			02/01/2012		
3536			02/01/2012		
3537			02/01/2012		
14			02/01/2012		
8933	23,13	4,1	02/01/2012	227	1
3133	24,63	4,2	02/01/2012	74	1
3216			02/01/2012		
3140	22,04	4,4	03/01/2012	87	1
8946	19,32	3,9	03/01/2012	135	2
3517			03/01/2012		
3504			03/01/2012		
3166			03/01/2012		
8936	26,39	5,3	03/01/2012	96	2
8941	16,34	1,4	03/01/2012	328	1
3507			03/01/2012		
3509			03/01/2012		
3500			03/01/2012		
8933	21,35	3,8	03/01/2012	228	1
14			03/01/2012		
3133	26,04	4,3	03/01/2012	75	1
7			03/01/2012		
3230			03/01/2012		
4990			03/01/2012		
3227			03/01/2012		
8949	28,03	5,5	03/01/2012	113	2
4997			03/01/2012		
3536			03/01/2012		
4965			03/01/2012		
5004			03/01/2012		
4994			03/01/2012		
3524			03/01/2012		
3514			03/01/2012		
3537			03/01/2012		
9			03/01/2012		
17			03/01/2012		
3138	22,44	4,3	03/01/2012	49	1
3129	30,41	5,0	03/01/2012	40	1
3505			03/01/2012		
3532			03/01/2012		
4977			03/01/2012		
8970	23,58	3,8	03/01/2012	13	1
3541			03/01/2012		
4971			03/01/2012		
8932	25,24	2,3	03/01/2012	23	2
3495			03/01/2012		
3216			03/01/2012		
4978			03/01/2012		
1			03/01/2012		
8959	24,75	4,2	03/01/2012	243	1
17			04/01/2012		
3495			04/01/2012		
3514			04/01/2012		
8932	26,95	2,5	04/01/2012	24	2
8933	23,48	4,0	04/01/2012	229	1
3216			04/01/2012		
3509			04/01/2012		
9			04/01/2012		
8946	17,29	4,3	04/01/2012	136	2
3505			04/01/2012		
8959	22,25	3,8	04/01/2012	244	1
3532			04/01/2012		
3133	25,11	4,4	04/01/2012	76	1
3507			04/01/2012		
14			04/01/2012		
4994			04/01/2012		
4997			04/01/2012		
3140	20,56	4,3	04/01/2012	88	1
3537			04/01/2012		
